"orderId","category","mainDish","pairedDish","session","taste","budget","groupSize"
44,"drinks","Buttermilk","None","Dine-in","Sweet","High",2
45,"breakfast","Ghugni","Piaji","Dine-in","Savory","Medium",1
46,"breakfast","Pakhala Bhata","Badi Chura","Online","Savory","Low",4
47,"snacks","Ghugni Chat","None","Dine-in","Mild","High","Family Pack"
48,"snacks","Chhena Gaja","None","Online","Sweet","Medium",6
49,"lunch","Mansa Tarkari","None","Takeaway","Spicy","Low",1
50,"breakfast","Chhena Poda","None","Takeaway","Mild","Low",6
51,"dinner","Mutton Kassa","Khaja","Online","Mild","Low",4
52,"drinks","Buttermilk","None","Dine-in","Mild","High",1
53,"snacks","Dahibara Aludum","Gupchup","Online","Spicy","Medium",6
54,"snacks","Chhena Gaja","None","Online","Mild","Low",6
55,"drinks","Lassi","None","Online","Sweet","High",4
56,"dinner","Mati Handi Mutton","None","Online","Spicy","Low",6
57,"dinner","Mutton Kassa","Khaja","Takeaway","Mild","Low",4
58,"lunch","Saga Bhaja","None","Takeaway","Spicy","Low",2
59,"dinner","Khaja","None","Dine-in","Sweet","Low",1
60,"snacks","Poda Pitha","Tea","Dine-in","Savory","High",4
61,"drinks","Lassi","None","Online","Sweet","High",2
62,"dinner","Mati Handi Mutton","None","Dine-in","Savory","Medium","Family Pack"
63,"lunch","Dalma","Rice & Saga Bhaja","Online","Sweet","Medium",6
64,"drinks","Buttermilk","None","Online","Mild","Low",2
65,"dinner","Mati Handi Mutton","None","Online","Spicy","Low",4
66,"lunch","Macha Besara","Chingudi Jhola","Online","Savory","Medium",6
67,"lunch","Macha Besara","Chingudi Jhola","Dine-in","Sweet","High","Family Pack"
68,"drinks","Lassi","None","Dine-in","Savory","High","Family Pack"
69,"snacks","Poda Pitha","Tea","Takeaway","Spicy","Low",2
70,"lunch","Saga Bhaja","None","Dine-in","Sweet","Medium",1
71,"snacks","Dahibara Aludum","Gupchup","Takeaway","Mild","Medium",6
72,"drinks","Buttermilk","None","Takeaway","Sweet","High",6
73,"snacks","Aloo Chop","None","Online","Sweet","Medium",1
74,"breakfast","Ghugni","Piaji","Online","Savory","Low",2
75,"breakfast","Ghugni","Piaji","Online","Sweet","Low",1
76,"breakfast","Kanika","Chhena Poda","Dine-in","Mild","Low",6
77,"lunch","Macha Besara","Chingudi Jhola","Dine-in","Mild","High",4
78,"dinner","Khaja","None","Takeaway","Savory","High",6
79,"lunch","Mansa Tarkari","None","Online","Spicy","Low",2
80,"dinner","Mati Handi Mutton","None","Dine-in","Sweet","High",2
81,"snacks","Ghugni Chat","None","Takeaway","Savory","Medium",4
82,"snacks","Ghugni Chat","None","Takeaway","Savory","Medium",6
83,"snacks","Chhena Gaja","None","Online","Spicy","Medium",6
84,"lunch","Saga Bhaja","None","Online","Savory","Low",1
85,"snacks","Ghugni Chat","None","Takeaway","Sweet","Medium",4
86,"snacks","Chhena Gaja","None","Dine-in","Sweet","Low",2
87,"snacks","Aloo Chop","None","Takeaway","Savory","Medium","Family Pack"
88,"lunch","Mansa Tarkari","None","Takeaway","Sweet","Medium",6
89,"dinner","Mutton Kassa","Khaja","Online","Sweet","Low",6
90,"drinks","Black Coffee","None","Takeaway","Spicy","Medium",1
91,"lunch","Santula","None","Online","Mild","Medium",1
92,"drinks","Tea","None","Takeaway","Spicy","Low",4
93,"dinner","Alu Dum","None","Online","Spicy","Low","Family Pack"
94,"lunch","Mansa Tarkari","None","Takeaway","Savory","High",1
95,"snacks","Ghugni Chat","None","Takeaway","Mild","High",4
96,"breakfast","Ghugni","Piaji","Online","Savory","Low",2
97,"drinks","Buttermilk","None","Takeaway","Savory","Low",1
98,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Mild","High",2
99,"dinner","Alu Dum","None","Online","Mild","Medium","Family Pack"
100,"snacks","Dahibara Aludum","Gupchup","Takeaway","Mild","High","Family Pack"
101,"breakfast","Kanika","Chhena Poda","Online","Spicy","Medium",1
102,"lunch","Chingudi Jhola","None","Takeaway","Sweet","High",6
103,"snacks","Poda Pitha","Tea","Online","Sweet","Low",2
104,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Savory","Low","Family Pack"
105,"breakfast","Pakhala Bhata","Badi Chura","Online","Sweet","High",1
106,"snacks","Chhena Gaja","None","Online","Sweet","Low",2
107,"lunch","Chingudi Jhola","None","Dine-in","Savory","Medium","Family Pack"
108,"dinner","Chuna Machha Tarkari","None","Takeaway","Savory","Medium","Family Pack"
109,"snacks","Dahibara Aludum","Gupchup","Takeaway","Spicy","High",4
110,"dinner","Khaja","None","Takeaway","Sweet","Low",6
111,"lunch","Santula","None","Online","Spicy","Medium",1
112,"dinner","Khaja","None","Dine-in","Sweet","High",1
113,"lunch","Chingudi Jhola","None","Dine-in","Spicy","High",2
114,"dinner","Alu Dum","None","Takeaway","Savory","High",2
115,"breakfast","Bara","None","Dine-in","Sweet","High",2
116,"drinks","Lassi","None","Takeaway","Sweet","Low",2
117,"breakfast","Dalma","Rice & Saga Bhaja","Takeaway","Mild","Medium",1
118,"breakfast","Chhena Poda","None","Takeaway","Sweet","High",4
119,"breakfast","Ghugni","Piaji","Dine-in","Sweet","High",6
120,"lunch","Mansa Tarkari","None","Takeaway","Savory","Low",1
121,"drinks","Black Coffee","None","Online","Spicy","Low","Family Pack"
122,"snacks","Chhena Gaja","None","Dine-in","Sweet","Low",1
123,"dinner","Dahi Baigana","None","Dine-in","Mild","Low",2
124,"snacks","Ghugni Chat","None","Dine-in","Spicy","High",1
125,"snacks","Chhena Gaja","None","Online","Savory","Medium",1
126,"lunch","Chingudi Jhola","None","Online","Savory","Medium",4
127,"breakfast","Bara","None","Dine-in","Sweet","High",2
128,"dinner","Alu Dum","None","Takeaway","Mild","High",6
129,"breakfast","Kanika","Chhena Poda","Dine-in","Spicy","Medium",2
130,"breakfast","Kanika","Chhena Poda","Dine-in","Savory","High",1
131,"breakfast","Ghugni","Piaji","Online","Spicy","Low",4
132,"lunch","Saga Bhaja","None","Online","Spicy","High","Family Pack"
133,"drinks","Lassi","None","Online","Mild","High",1
134,"snacks","Aloo Chop","None","Takeaway","Sweet","Medium",4
135,"dinner","Alu Dum","None","Online","Mild","Low","Family Pack"
136,"drinks","Palm Juice","None","Dine-in","Sweet","High",4
137,"lunch","Santula","None","Online","Mild","High",6
138,"lunch","Dalma","Rice & Saga Bhaja","Takeaway","Mild","Low",1
139,"lunch","Dalma","Rice & Saga Bhaja","Online","Savory","Medium",4
140,"breakfast","Chhena Poda","None","Dine-in","Savory","High",2
141,"dinner","Mutton Kassa","Khaja","Online","Spicy","Medium","Family Pack"
142,"drinks","Black Coffee","None","Takeaway","Spicy","High",6
143,"dinner","Chuna Machha Tarkari","None","Online","Sweet","Low",2
144,"drinks","Palm Juice","None","Takeaway","Spicy","High",6
145,"drinks","Lassi","None","Takeaway","Spicy","Low","Family Pack"
146,"drinks","Tea","None","Takeaway","Spicy","Medium",6
147,"drinks","Tea","None","Dine-in","Mild","Medium",4
148,"lunch","Mansa Tarkari","None","Online","Spicy","High",1
149,"dinner","Chuna Machha Tarkari","None","Dine-in","Mild","Low",4
150,"breakfast","Bara","None","Online","Savory","High",6
151,"breakfast","Bara","None","Takeaway","Mild","Low",1
152,"drinks","Lassi","None","Dine-in","Spicy","Medium",1
153,"snacks","Ghugni Chat","None","Online","Mild","High",1
154,"snacks","Poda Pitha","Tea","Online","Mild","High",1
155,"breakfast","Dalma","Rice & Saga Bhaja","Takeaway","Savory","Low",1
156,"breakfast","Bara","None","Dine-in","Mild","High",4
157,"drinks","Tea","None","Online","Sweet","Medium",2
158,"drinks","Lassi","None","Online","Mild","Medium",4
159,"lunch","Mansa Tarkari","None","Dine-in","Spicy","Medium",1
160,"drinks","Black Coffee","None","Dine-in","Savory","High",1
161,"lunch","Macha Besara","Chingudi Jhola","Dine-in","Spicy","Medium",4
162,"drinks","Lassi","None","Takeaway","Savory","Low","Family Pack"
163,"drinks","Tea","None","Dine-in","Sweet","High",4
164,"dinner","Chuna Machha Tarkari","None","Dine-in","Savory","Medium",4
165,"dinner","Mati Handi Mutton","None","Takeaway","Spicy","High",2
166,"drinks","Tea","None","Online","Sweet","Low",2
167,"dinner","Alu Dum","None","Takeaway","Savory","High",4
168,"dinner","Khaja","None","Online","Sweet","High",4
169,"lunch","Chingudi Jhola","None","Takeaway","Spicy","Low",1
170,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Sweet","Medium",4
171,"lunch","Dalma","Rice & Saga Bhaja","Online","Spicy","Low",1
172,"dinner","Dahi Baigana","None","Takeaway","Spicy","Medium","Family Pack"
173,"drinks","Buttermilk","None","Takeaway","Savory","Low","Family Pack"
174,"breakfast","Ghugni","Piaji","Online","Mild","Low",6
175,"lunch","Chingudi Jhola","None","Takeaway","Savory","Medium",6
176,"dinner","Chuna Machha Tarkari","None","Dine-in","Sweet","High",6
177,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Sweet","High",1
178,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Mild","Medium",4
179,"dinner","Dahi Baigana","None","Dine-in","Spicy","High","Family Pack"
180,"dinner","Dahi Baigana","None","Takeaway","Sweet","Medium",6
181,"snacks","Dahibara Aludum","Gupchup","Dine-in","Spicy","Low",6
182,"snacks","Poda Pitha","Tea","Dine-in","Savory","Medium",1
183,"lunch","Mansa Tarkari","None","Takeaway","Mild","Low","Family Pack"
184,"breakfast","Bara","None","Takeaway","Mild","High","Family Pack"
185,"breakfast","Bara","None","Dine-in","Sweet","Low",2
186,"breakfast","Bara","None","Dine-in","Savory","Medium","Family Pack"
187,"snacks","Chhena Gaja","None","Takeaway","Savory","Medium",4
188,"breakfast","Kanika","Chhena Poda","Online","Spicy","Low",4
189,"snacks","Ghugni Chat","None","Takeaway","Mild","Medium",4
190,"dinner","Chuna Machha Tarkari","None","Online","Spicy","Medium",4
191,"breakfast","Pakhala Bhata","Badi Chura","Takeaway","Spicy","High",2
192,"lunch","Santula","None","Takeaway","Mild","Medium",2
193,"breakfast","Bara","None","Takeaway","Mild","Low",4
194,"lunch","Saga Bhaja","None","Takeaway","Sweet","Medium",6
195,"drinks","Buttermilk","None","Dine-in","Savory","Medium",1
196,"breakfast","Bara","None","Online","Spicy","High",2
197,"drinks","Buttermilk","None","Dine-in","Savory","Medium",6
198,"drinks","Palm Juice","None","Online","Spicy","Low",1
199,"breakfast","Bara","None","Online","Sweet","Medium",6
200,"breakfast","Kanika","Chhena Poda","Takeaway","Savory","Low",6
201,"lunch","Macha Besara","Chingudi Jhola","Dine-in","Savory","High",6
202,"snacks","Poda Pitha","Tea","Dine-in","Savory","High",4
203,"snacks","Dahibara Aludum","Gupchup","Takeaway","Sweet","Low",2
204,"breakfast","Dalma","Rice & Saga Bhaja","Online","Savory","Medium","Family Pack"
205,"drinks","Black Coffee","None","Dine-in","Sweet","Low","Family Pack"
206,"breakfast","Pakhala Bhata","Badi Chura","Takeaway","Mild","Medium",2
207,"drinks","Tea","None","Online","Mild","High","Family Pack"
208,"drinks","Black Coffee","None","Online","Sweet","Low",4
209,"snacks","Poda Pitha","Tea","Dine-in","Spicy","High",2
210,"dinner","Mati Handi Mutton","None","Online","Sweet","Low",4
211,"lunch","Mansa Tarkari","None","Takeaway","Savory","High",4
212,"dinner","Alu Dum","None","Takeaway","Sweet","Medium",6
213,"drinks","Lassi","None","Dine-in","Sweet","High",6
214,"lunch","Santula","None","Online","Mild","Low",1
215,"snacks","Dahibara Aludum","Gupchup","Takeaway","Spicy","High",4
216,"snacks","Aloo Chop","None","Online","Sweet","Low",4
217,"drinks","Tea","None","Online","Mild","Medium",6
218,"breakfast","Chhena Poda","None","Online","Savory","Medium",1
219,"drinks","Lassi","None","Dine-in","Sweet","High",2
220,"lunch","Dalma","Rice & Saga Bhaja","Takeaway","Mild","Low",1
221,"lunch","Dalma","Rice & Saga Bhaja","Dine-in","Mild","High",4
222,"lunch","Chingudi Jhola","None","Takeaway","Savory","Low",6
223,"dinner","Mutton Kassa","Khaja","Takeaway","Sweet","Medium",4
224,"breakfast","Kanika","Chhena Poda","Online","Sweet","High",6
225,"lunch","Chingudi Jhola","None","Online","Sweet","Low",2
226,"snacks","Dahibara Aludum","Gupchup","Takeaway","Savory","Medium",4
227,"drinks","Tea","None","Takeaway","Sweet","Medium",1
228,"snacks","Poda Pitha","Tea","Dine-in","Sweet","Low",2
229,"drinks","Black Coffee","None","Online","Savory","Medium",2
230,"dinner","Chuna Machha Tarkari","None","Dine-in","Sweet","Low",2
231,"lunch","Mansa Tarkari","None","Online","Spicy","Low",4
232,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Spicy","Low","Family Pack"
233,"drinks","Tea","None","Takeaway","Savory","High",1
234,"snacks","Ghugni Chat","None","Dine-in","Mild","High",6
235,"lunch","Mansa Tarkari","None","Dine-in","Spicy","Medium",6
236,"drinks","Black Coffee","None","Online","Spicy","Medium",4
237,"breakfast","Chhena Poda","None","Takeaway","Spicy","Medium",4
238,"snacks","Chhena Gaja","None","Dine-in","Spicy","Medium",4
239,"lunch","Chingudi Jhola","None","Online","Mild","Medium","Family Pack"
240,"dinner","Mati Handi Mutton","None","Takeaway","Sweet","High",4
241,"breakfast","Dalma","Rice & Saga Bhaja","Online","Spicy","High",4
242,"snacks","Dahibara Aludum","Gupchup","Takeaway","Spicy","Low",6
243,"breakfast","Pakhala Bhata","Badi Chura","Online","Mild","Medium",4
244,"breakfast","Chhena Poda","None","Takeaway","Spicy","Low",6
245,"lunch","Mansa Tarkari","None","Takeaway","Savory","Low",4
246,"snacks","Poda Pitha","Tea","Online","Spicy","High",6
247,"snacks","Ghugni Chat","None","Dine-in","Spicy","Low",1
248,"dinner","Chuna Machha Tarkari","None","Online","Spicy","High",2
249,"dinner","Dahi Baigana","None","Online","Spicy","High",4
250,"breakfast","Bara","None","Online","Mild","Low",6
251,"snacks","Aloo Chop","None","Dine-in","Spicy","Low","Family Pack"
252,"lunch","Saga Bhaja","None","Online","Spicy","High",1
253,"snacks","Poda Pitha","Tea","Online","Savory","Medium","Family Pack"
254,"drinks","Black Coffee","None","Online","Mild","High",6
255,"drinks","Tea","None","Dine-in","Savory","High",6
256,"snacks","Dahibara Aludum","Gupchup","Takeaway","Sweet","High",4
257,"lunch","Mansa Tarkari","None","Takeaway","Sweet","High",4
258,"lunch","Saga Bhaja","None","Takeaway","Mild","Low",1
259,"snacks","Ghugni Chat","None","Dine-in","Mild","Low",4
260,"drinks","Palm Juice","None","Online","Sweet","High",2
261,"breakfast","Ghugni","Piaji","Takeaway","Spicy","Medium",1
262,"breakfast","Dalma","Rice & Saga Bhaja","Dine-in","Sweet","High",4
263,"lunch","Chingudi Jhola","None","Dine-in","Sweet","High",2
264,"dinner","Chuna Machha Tarkari","None","Dine-in","Mild","Medium",6
265,"drinks","Palm Juice","None","Takeaway","Spicy","Medium","Family Pack"
266,"drinks","Buttermilk","None","Online","Spicy","Low",4
267,"lunch","Saga Bhaja","None","Online","Spicy","High","Family Pack"
268,"drinks","Lassi","None","Dine-in","Mild","Medium",2
269,"snacks","Dahibara Aludum","Gupchup","Online","Sweet","Low","Family Pack"
270,"dinner","Dahi Baigana","None","Takeaway","Savory","Medium",2
271,"breakfast","Dalma","Rice & Saga Bhaja","Takeaway","Spicy","Low",2
272,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Savory","High",6
273,"snacks","Aloo Chop","None","Dine-in","Spicy","Low",2
274,"breakfast","Kanika","Chhena Poda","Online","Spicy","Low",4
275,"snacks","Aloo Chop","None","Takeaway","Savory","Low",6
276,"lunch","Dalma","Rice & Saga Bhaja","Online","Mild","Medium",1
277,"dinner","Mutton Kassa","Khaja","Takeaway","Savory","High","Family Pack"
278,"snacks","Aloo Chop","None","Dine-in","Mild","Low",1
279,"drinks","Lassi","None","Online","Mild","Medium",1
280,"snacks","Poda Pitha","Tea","Takeaway","Spicy","Low",2
281,"lunch","Macha Besara","Chingudi Jhola","Online","Mild","Low",4
282,"lunch","Chingudi Jhola","None","Takeaway","Spicy","Low",4
283,"breakfast","Chhena Poda","None","Takeaway","Spicy","Low","Family Pack"
284,"lunch","Dalma","Rice & Saga Bhaja","Takeaway","Savory","Medium",2
285,"drinks","Palm Juice","None","Takeaway","Spicy","Medium",4
286,"snacks","Poda Pitha","Tea","Dine-in","Sweet","Medium",4
287,"drinks","Black Coffee","None","Takeaway","Savory","High",6
288,"dinner","Khaja","None","Online","Mild","High",4
289,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Mild","Medium",1
290,"dinner","Mati Handi Mutton","None","Online","Spicy","High","Family Pack"
291,"snacks","Dahibara Aludum","Gupchup","Takeaway","Sweet","Low",6
292,"snacks","Ghugni Chat","None","Dine-in","Spicy","Medium",2
293,"snacks","Dahibara Aludum","Gupchup","Online","Spicy","High",1
294,"drinks","Buttermilk","None","Online","Spicy","High",4
295,"snacks","Ghugni Chat","None","Dine-in","Sweet","High","Family Pack"
296,"snacks","Dahibara Aludum","Gupchup","Takeaway","Spicy","Low",2
297,"dinner","Dahi Baigana","None","Takeaway","Savory","High",1
298,"lunch","Dalma","Rice & Saga Bhaja","Online","Sweet","Medium","Family Pack"
299,"lunch","Mansa Tarkari","None","Dine-in","Mild","Low",2
300,"breakfast","Bara","None","Online","Savory","Medium",4
301,"lunch","Santula","None","Takeaway","Mild","Medium",1
302,"snacks","Dahibara Aludum","Gupchup","Dine-in","Savory","High",6
303,"dinner","Chuna Machha Tarkari","None","Takeaway","Savory","Medium",2
304,"drinks","Buttermilk","None","Online","Sweet","Medium","Family Pack"
305,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Spicy","High",4
306,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Sweet","Low",6
307,"drinks","Tea","None","Online","Spicy","Medium",2
308,"dinner","Mutton Kassa","Khaja","Online","Savory","Medium",1
309,"snacks","Dahibara Aludum","Gupchup","Takeaway","Mild","Low","Family Pack"
310,"snacks","Aloo Chop","None","Dine-in","Savory","Medium",2
311,"lunch","Saga Bhaja","None","Online","Mild","High",4
312,"snacks","Aloo Chop","None","Online","Spicy","Low",1
313,"lunch","Dalma","Rice & Saga Bhaja","Takeaway","Savory","Low",2
314,"lunch","Chingudi Jhola","None","Dine-in","Mild","Low","Family Pack"
315,"dinner","Khaja","None","Dine-in","Savory","High","Family Pack"
316,"snacks","Chhena Gaja","None","Online","Mild","Medium",4
317,"drinks","Lassi","None","Takeaway","Mild","High",4
318,"snacks","Aloo Chop","None","Online","Sweet","Medium",6
319,"snacks","Dahibara Aludum","Gupchup","Dine-in","Mild","Medium",2
320,"lunch","Mansa Tarkari","None","Dine-in","Savory","High","Family Pack"
321,"snacks","Aloo Chop","None","Takeaway","Spicy","High",2
322,"breakfast","Chhena Poda","None","Dine-in","Mild","Low",2
323,"breakfast","Bara","None","Dine-in","Spicy","Medium",1
324,"lunch","Mansa Tarkari","None","Dine-in","Savory","Low",6
325,"snacks","Aloo Chop","None","Online","Mild","Low",6
326,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Savory","Medium",1
327,"drinks","Tea","None","Dine-in","Mild","Medium","Family Pack"
328,"dinner","Chuna Machha Tarkari","None","Dine-in","Spicy","High",1
329,"dinner","Mati Handi Mutton","None","Takeaway","Sweet","Low",4
330,"snacks","Dahibara Aludum","Gupchup","Online","Savory","Medium",2
331,"lunch","Macha Besara","Chingudi Jhola","Dine-in","Savory","High",1
332,"drinks","Palm Juice","None","Dine-in","Spicy","Medium",4
333,"dinner","Dahi Baigana","None","Dine-in","Spicy","Medium",4
334,"snacks","Ghugni Chat","None","Dine-in","Savory","Medium","Family Pack"
335,"drinks","Palm Juice","None","Online","Savory","High",4
336,"lunch","Dalma","Rice & Saga Bhaja","Dine-in","Sweet","Medium",4
337,"drinks","Palm Juice","None","Dine-in","Mild","High","Family Pack"
338,"breakfast","Dalma","Rice & Saga Bhaja","Online","Savory","Low","Family Pack"
339,"lunch","Chingudi Jhola","None","Online","Mild","High",1
340,"breakfast","Bara","None","Online","Spicy","Low",1
341,"breakfast","Chhena Poda","None","Takeaway","Spicy","High",1
342,"snacks","Chhena Gaja","None","Online","Savory","Low",6
343,"drinks","Lassi","None","Online","Sweet","Low",1
344,"breakfast","Ghugni","Piaji","Online","Savory","High",1
345,"breakfast","Pakhala Bhata","Badi Chura","Dine-in","Spicy","Medium",2
346,"lunch","Saga Bhaja","None","Takeaway","Mild","Low",4
347,"dinner","Khaja","None","Online","Savory","Low",2
348,"snacks","Chhena Gaja","None","Dine-in","Mild","Medium",4
349,"drinks","Lassi","None","Takeaway","Sweet","Low",1
350,"drinks","Tea","None","Takeaway","Spicy","Low",1
351,"dinner","Dahi Baigana","None","Takeaway","Savory","Medium","Family Pack"
352,"drinks","Lassi","None","Online","Spicy","Medium","Family Pack"
353,"drinks","Tea","None","Dine-in","Savory","High",4
354,"breakfast","Bara","None","Takeaway","Sweet","Medium","Family Pack"
355,"drinks","Black Coffee","None","Dine-in","Mild","Medium",2
356,"snacks","Poda Pitha","Tea","Dine-in","Savory","Medium","Family Pack"
357,"breakfast","Chhena Poda","None","Online","Mild","Medium",6
358,"breakfast","Dalma","Rice & Saga Bhaja","Takeaway","Savory","Medium","Family Pack"
359,"snacks","Ghugni Chat","None","Online","Sweet","Low",6
360,"lunch","Saga Bhaja","None","Online","Sweet","Low",6
361,"dinner","Mati Handi Mutton","None","Online","Savory","High",4
362,"snacks","Aloo Chop","None","Takeaway","Savory","Medium",4
363,"breakfast","Ghugni","Piaji","Takeaway","Savory","Medium",2
364,"drinks","Lassi","None","Takeaway","Spicy","Medium","Family Pack"
365,"drinks","Tea","None","Online","Savory","Low",6
366,"breakfast","Chhena Poda","None","Dine-in","Spicy","Medium",2
367,"dinner","Alu Dum","None","Dine-in","Mild","High",1
368,"dinner","Chuna Machha Tarkari","None","Dine-in","Mild","Medium",6
369,"lunch","Chingudi Jhola","None","Online","Spicy","Medium",6
370,"snacks","Ghugni Chat","None","Takeaway","Mild","High",1
371,"lunch","Chingudi Jhola","None","Online","Savory","Low",2
372,"snacks","Poda Pitha","Tea","Online","Spicy","High",6
373,"drinks","Black Coffee","None","Online","Sweet","High",6
374,"dinner","Alu Dum","None","Takeaway","Sweet","Low",4
375,"drinks","Lassi","None","Takeaway","Sweet","Low",4
376,"dinner","Mati Handi Mutton","None","Dine-in","Sweet","High","Family Pack"
377,"dinner","Mutton Kassa","Khaja","Dine-in","Mild","High","Family Pack"
378,"dinner","Mutton Kassa","Khaja","Dine-in","Savory","High",1
379,"breakfast","Pakhala Bhata","Badi Chura","Online","Mild","Medium",1
380,"breakfast","Ghugni","Piaji","Dine-in","Savory","Low",2
381,"breakfast","Dalma","Rice & Saga Bhaja","Online","Spicy","Low","Family Pack"
382,"snacks","Aloo Chop","None","Takeaway","Savory","Medium",1
383,"lunch","Dalma","Rice & Saga Bhaja","Dine-in","Spicy","Medium",2
384,"breakfast","Kanika","Chhena Poda","Takeaway","Sweet","High","Family Pack"
385,"lunch","Saga Bhaja","None","Dine-in","Savory","Medium",1
386,"lunch","Saga Bhaja","None","Dine-in","Sweet","Medium",6
387,"snacks","Poda Pitha","Tea","Online","Savory","Low","Family Pack"
388,"dinner","Khaja","None","Dine-in","Mild","High",4
389,"dinner","Khaja","None","Online","Savory","Low",1
390,"dinner","Mutton Kassa","Khaja","Online","Sweet","Low",1
391,"drinks","Lassi","None","Dine-in","Savory","High","Family Pack"
392,"breakfast","Chhena Poda","None","Takeaway","Sweet","Medium",2
393,"breakfast","Chhena Poda","None","Takeaway","Savory","High",1
394,"lunch","Santula","None","Takeaway","Mild","Low",4
395,"drinks","Black Coffee","None","Online","Sweet","Low",4
396,"breakfast","Chhena Poda","None","Takeaway","Mild","Low",4
397,"snacks","Poda Pitha","Tea","Online","Mild","Medium",4
398,"snacks","Poda Pitha","Tea","Online","Sweet","High",2
399,"lunch","Santula","None","Dine-in","Mild","Low","Family Pack"
400,"drinks","Palm Juice","None","Dine-in","Sweet","Low","Family Pack"
401,"lunch","Dalma","Rice & Saga Bhaja","Online","Mild","High",6
402,"lunch","Macha Besara","Chingudi Jhola","Takeaway","Spicy","Medium",6
403,"breakfast","Bara","None","Dine-in","Spicy","Low","Family Pack"
404,"drinks","Black Coffee","None","Online","Mild","Medium",1
405,"drinks","Palm Juice","None","Online","Savory","High",6
406,"dinner","Khaja","None","Takeaway","Savory","High",1
407,"lunch","Santula","None","Takeaway","Mild","Medium",1
408,"dinner","Chuna Machha Tarkari","None","Online","Savory","High",1
409,"lunch","Dalma","Rice & Saga Bhaja","Online","Mild","High",6
410,"lunch","Chingudi Jhola","None","Dine-in","Spicy","Low",4
411,"breakfast","Bara","None","Dine-in","Sweet","High",1
